2026-07-17 10:20:09,967 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-17 10:20:13,498 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-17 10:20:15,806 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-17 10:20:16,771 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-17 10:20:21,358 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-17 10:20:22,330 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-17 14:26:36,107 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-21 13:16:25,348 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-21 13:16:57,588 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-21 13:17:00,152 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-21 13:17:02,257 | INFO     | dashboard_server | Dashboard server stopped.
2026-07-21 13:17:02,293 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-21 13:17:04,347 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-21 13:17:07,305 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-21 13:17:15,111 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-21 13:17:15,849 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-22 09:56:53,315 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-22 09:57:01,719 | INFO     | dashboard_server | Dashboard server stopped.
2026-07-22 09:57:04,165 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-22 09:57:09,447 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-22 12:27:04,888 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-22 13:39:23,270 | INFO     | dashboard_server | Dashboard server stopped.
2026-07-22 13:39:47,442 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-22 13:40:18,759 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-22 13:45:43,170 | INFO     | dashboard_server | Dashboard server stopped.
2026-07-22 13:45:43,175 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-22 13:45:44,914 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-22 13:45:48,183 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-22 13:50:20,934 | INFO     | dashboard_server | Dashboard server stopped.
2026-07-22 13:50:20,938 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-22 13:50:22,807 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-22 13:50:25,953 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-22 13:55:37,964 | INFO     | dashboard_server | Dashboard server stopped.
2026-07-22 13:55:37,968 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-22 13:55:39,916 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-22 13:55:42,986 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-22 13:56:16,816 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-22 13:56:18,832 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
2026-07-22 14:04:28,271 | INFO     | dashboard_server | Dashboard server stopped.
2026-07-22 14:04:28,273 | INFO     | dashboard_server | Dashboard client disconnected. Total clients: 0
2026-07-22 14:04:30,858 | INFO     | dashboard_server | Starting dashboard server on ws://0.0.0.0:8765
2026-07-22 14:04:33,293 | INFO     | dashboard_server | Dashboard client connected. Total clients: 1
