2026-07-17 10:33:37,398 | INFO     | paper_broker | [PAPER FILL] LONG 25 MIDCPNIFTY_26JUL23_17900_PE @ 268.59 (order PAPER-aa10e87f3a)
2026-07-17 10:36:12,504 | INFO     | paper_broker | [PAPER FILL] SHORT 25 MIDCPNIFTY_26JUL23_17900_PE @ 268.57 (order PAPER-cc7f7a832c)
2026-07-17 10:36:13,060 | INFO     | paper_broker | [PAPER FILL] LONG 25 MIDCPNIFTY_26JUL23_17900_PE @ 268.56 (order PAPER-00364da1bd)
2026-07-17 10:42:30,506 | INFO     | paper_broker | [PAPER FILL] SHORT 25 MIDCPNIFTY_26JUL23_17900_PE @ 327.15 (order PAPER-6025e9eefe)
2026-07-21 13:39:31,736 | INFO     | paper_broker | [PAPER FILL] LONG 25 NIFTY_26JUL23_24200_CE @ 362.75 (order PAPER-838d84c0cc)
2026-07-21 13:41:29,308 | INFO     | paper_broker | [PAPER FILL] SHORT 25 NIFTY_26JUL23_24200_CE @ 363.60 (order PAPER-ba4dd672da)
2026-07-21 13:54:52,757 | INFO     | paper_broker | [PAPER FILL] LONG 33 ICICIBANK_26JUL23_1455_PE @ 21.95 (order PAPER-d3c6e7bf8e)
2026-07-21 13:55:26,381 | INFO     | paper_broker | [PAPER FILL] LONG 10 SENSEX_26JUL23_77500_CE @ 1174.20 (order PAPER-d5e630b558)
2026-07-21 13:56:42,998 | INFO     | paper_broker | [PAPER FILL] SHORT 10 SENSEX_26JUL23_77500_CE @ 1161.41 (order PAPER-746054d1ee)
2026-07-21 13:57:00,332 | INFO     | paper_broker | [PAPER FILL] LONG 25 BANKNIFTY_26JUL23_57900_PE @ 878.45 (order PAPER-5af5cc5c7e)
2026-07-21 13:57:31,819 | INFO     | paper_broker | [PAPER FILL] SHORT 25 BANKNIFTY_26JUL23_57900_PE @ 869.44 (order PAPER-29eeb31a92)
2026-07-21 13:57:32,104 | INFO     | paper_broker | [PAPER FILL] LONG 25 BANKNIFTY_26JUL23_57900_PE @ 869.56 (order PAPER-39f9d597dd)
2026-07-21 13:58:18,691 | INFO     | paper_broker | [PAPER FILL] SHORT 25 BANKNIFTY_26JUL23_57900_PE @ 868.82 (order PAPER-ccd58c745f)
2026-07-21 14:01:48,760 | INFO     | paper_broker | [PAPER FILL] SHORT 33 ICICIBANK_26JUL23_1455_PE @ 21.98 (order PAPER-30ddf965ab)
2026-07-22 10:01:07,285 | DEBUG    | paper_broker | No 5minute data from yfinance for ITC (ITC.NS). Skipping.
2026-07-22 10:02:16,702 | INFO     | paper_broker | [PAPER FILL] LONG 10 SENSEX_26JUL23_76900_PE @ 1183.29 (order PAPER-7a7ac2b5f7)
2026-07-22 10:07:21,698 | INFO     | paper_broker | [PAPER FILL] SHORT 10 SENSEX_26JUL23_76900_PE @ 1155.95 (order PAPER-636aacc4f1)
2026-07-22 13:40:05,139 | INFO     | paper_broker | [PAPER FILL] LONG 47 HDFCBANK_26JUL23_750_CE @ 14.10 (order PAPER-1df7953be1)
2026-07-22 13:44:23,575 | INFO     | paper_broker | [PAPER FILL] LONG 42 INFY_26JUL23_1050_CE @ 15.73 (order PAPER-3fd500f6e0)
2026-07-22 13:46:01,072 | INFO     | paper_broker | [PAPER FILL] SHORT 42 INFY_26JUL23_1050_CE @ 15.68 (order PAPER-add532976d)
2026-07-22 13:46:03,034 | INFO     | paper_broker | [PAPER FILL] LONG 33 SBIN_26JUL23_1020_CE @ 19.87 (order PAPER-079174bd64)
2026-07-22 13:46:12,308 | INFO     | paper_broker | [PAPER FILL] SHORT 47 HDFCBANK_26JUL23_750_CE @ 13.23 (order PAPER-a3ca59b85e)
2026-07-22 13:46:42,990 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:47:13,021 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:47:43,057 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:48:13,089 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:48:43,124 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:49:13,156 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:49:43,189 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:50:13,215 | DEBUG    | paper_broker | No 1minute data from yfinance for SBIN (SBIN.NS). Skipping.
2026-07-22 13:50:23,670 | INFO     | paper_broker | [PAPER FILL] SHORT 33 SBIN_26JUL23_1020_CE @ 17.52 (order PAPER-31afebfbf2)
2026-07-22 13:55:35,875 | DEBUG    | paper_broker | No 5minute data from yfinance for SENSEX (^BSESN). Skipping.
2026-07-22 14:04:22,645 | DEBUG    | paper_broker | No 15minute data from yfinance for NIFTY (^NSEI). Skipping.
2026-07-22 14:04:24,416 | DEBUG    | paper_broker | No 15minute data from yfinance for ICICIBANK (ICICIBANK.NS). Skipping.
2026-07-22 14:04:25,443 | DEBUG    | paper_broker | No 15minute data from yfinance for AXISBANK (AXISBANK.NS). Skipping.
2026-07-22 14:04:25,716 | DEBUG    | paper_broker | No 60minute data from yfinance for ITC (ITC.NS). Skipping.
