2026-07-17 10:36:12,506 | INFO     | risk_manager | Win registered on MIDCPNIFTY_26JUL23_17900_PE (opening_range_breakout): +0.50. Consecutive wins: 1
2026-07-17 10:42:30,506 | INFO     | risk_manager | Win registered on MIDCPNIFTY_26JUL23_17900_PE (opening_range_breakout): +1475.75. Consecutive wins: 2
2026-07-17 10:42:47,838 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(1476.25)
2026-07-21 13:17:04,346 | INFO     | risk_manager | New trading day detected — resetting daily counters, preserving equity/drawdown state.
2026-07-21 13:41:29,310 | INFO     | risk_manager | Win registered on NIFTY_26JUL23_24200_CE (ema_supertrend): +2.75. Consecutive wins: 1
2026-07-21 13:56:42,998 | INFO     | risk_manager | Loss registered on SENSEX_26JUL23_77500_CE (ema_supertrend): -59.40. Consecutive losses: 1
2026-07-21 13:57:31,820 | INFO     | risk_manager | Loss registered on BANKNIFTY_26JUL23_57900_PE (ema_supertrend): -771.00. Consecutive losses: 2
2026-07-21 13:57:31,820 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:57:31. No new trades until then — market regime re-evaluated on resume.
2026-07-21 13:58:18,691 | INFO     | risk_manager | Loss registered on BANKNIFTY_26JUL23_57900_PE (ema_supertrend): -8.50. Consecutive losses: 3
2026-07-21 13:58:18,692 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 14:58:18. No new trades until then — market regime re-evaluated on resume.
2026-07-21 14:01:48,760 | INFO     | risk_manager | Win registered on ICICIBANK_26JUL23_1455_PE (ema_supertrend): +1.32. Consecutive wins: 1
2026-07-21 14:58:20,240 | WARNING  | risk_manager | Trading halted for today: max_daily_loss_hit(-834.83)
2026-07-22 09:57:04,165 | INFO     | risk_manager | New trading day detected — resetting daily counters, preserving equity/drawdown state.
2026-07-22 10:07:21,698 | INFO     | risk_manager | Loss registered on SENSEX_26JUL23_76900_PE (opening_range_breakout): -444.40. Consecutive losses: 1
2026-07-22 10:07:39,105 | WARNING  | risk_manager | Trading halted for today: max_daily_loss_hit(-444.40)
2026-07-22 13:38:27,495 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
